Text,hashtag
too much meat &amp; wine during xmas celebration lol,[]
u,[]
"if you werent there during my struggle, dont expect me to be there during my success.",[]
sale was fun.,['taobao']
t- &amp; a half day lol,[]
bought the furniture without knowing earliest delivery is late dec lol ok not like im hosting a party or what. sit on floor lor lmao,[]
guess which idiot took the wrong train lol supposed to go je and i just hop onto any trains arrived at my stn lmao ded,[]
is it is it,[]
lmao me,[]
now showing: wesley methodist church. been serving since the resumption of p&amp cathay in sept. this is the first time im joining as congregation &amp; didnt know they print the actual movie tix for entrance lol,['cool']
and it goes on and on and onnnnnn. t- days!!,[]
,"['completion', 'huat']"
how to tell your parent not to trust everything shared on the internet lol lmao,['struggle']
t- days!!!!!!!,[]
pls share tips how to age backwards lol,[]
"let the ruins come to life, in the beauty of your name",[]
amen! my fav verse!,[]
nothing else matters. nothing in this world will do.,[]
jiayou!,[]
me: aunty aunty: me: inflation???? not me hearing aunty say $. aunty: sorry,[]
supposed to visit friend (&amp; his dog) next week but bammmm new restrictions kick in. so whos gonna eat the dog snacks i bought for my friends dog? lel,['covidPLS']
"told my landlord im moving out soon after flat completion, hurhur he like sad only. likewise. who gonna collect my parcel after i moved?",[]
so i got myself a taobao specialist.. thanks for comparing prices for me lmao,[]
read.between.the.lines. zzzz,[]
some people are just kaypoh a f. zzz,[]
"hurhur ,,,",['shuai']
mr baey replies lol lol,"['pride', 'outfitoftheyear', 'ootd', 'oppa']"
definitely your outfit,[]
"omgosh i love this! male professional dancer, female firefighter / astronaut.","['equality', 'NDP2021']"
hahahaha dm u ltr need some advise lol,[]
"would u pay more now, suffer now (save more in the long run) or pay less now, suffer later.",[]
so close yet so far.,[]
actually the taste not bad ah find it a bit weird at first but ok can accept lol i think i saw hainanese chicken rice chips before also eeeeeeee never try tho,[]
,[]
hmm i dont dare to look at my outlook inbox after i took a day off.,[]
i want mookata,[]
ada sticker jugak,[]
yay thanks,[]
went for my st and nd dose on both occasions the volunteer asked me am i above,[]
stay safe friend!,[]
thank you for the reminder. may gods peace be with you!,[]
"today im here not because of what ive done, but through gods grace.","['记载', '27july2021']"
lead me to the cross where your love poured out,[]
cg lead asking me to join hiking tmr at am me: sorry ah moh say no strenuous workout for a week. hehe hehe,['SIAM']
hahahahahaha its a worship song la,[]
"i called, you answered and you came to my rescue",[]
clown.,[]
yet not i but through christ in me,[]
(.) placed my order &amp; checkout (.) order shipped out.yo fast game.,[]
overspent on gss shopee sale lol next week eat grass ok?,[]
eh i can leh? shopee sg ok. i had the same problem for mins then ok liao,[]
researching &amp; comparing on the diff brands&amp;model dust mite vacuum lol or,"['adulting', 'deerma', 'mijia']"
my grandma took her st dose of sinovac!!,[]
u guys haz bts i haz wonder woman okay,['macs']
i is have xiao crai.,[]
"this morning i received a text from him, saying he enjoyed army just finish bmt and wants to go for ocs omgosh such a big boi alr hurhur. also, i cannot say im young anymore",['adulting']
"months back, our intern came to me asking for advice cause he gonna enlist into ns soon. i told him i did not have prior experience of dating a ns boi but i told him ok relax, just go enjoy your time &amp; meet loads of friend. gf wont suddenly breakup w u because u serving ns",[]
what a wonderful name it is!,[]
yer im v disturbed w the passerby trying to take video and that guy standing there omgosh go and help la -.-,[]
sadly yes. kuli lolol.,[]
woke up w good news. matter settled without going for trial (trial this thursday) lol. my main concern: no need iron my white clothes ah,[]
amen how r u chief,[]
you need jesus.,[]
lol,[]
maybe you could have google and get the answer? maybe you dont have to ask me? maybe im not interested in replying or explaining it to you? maybe youre annoying?,[]
"havent step into the office for almost weeks now, annnnnnnnd im late. hehe im so used to wfh now!!!",[]
omgosh pls sort out ur own issuesssss plssss,[]
all the comments on fb related to tg pagar bmw car crash. why you all so quick to judge??? have some empathy pls.,[]
addicted to shopeeeeeeeeeee. omg send halp?,[]
halo who got bbloh. send me we split the money $$$$ lol,['huat']
i need to comb my hair.,[]
lollllll eh,[]
tai tai!!!! shake leg wait money drop down from sky im working at another firm la hahaha,[]
i left the firm long time alr hahahah! helping my ex boss!,[]
malaysians are welcome!!!,[]
"** hiring!position: litigation paralegal location: east region, singaporereputable law firm in sg looking for one () paralegals (entry level/experienced all welcome!) to join the team! dm me now!",[]
sorry i meant grab delivery,[]
proud leh. still post friend send food or they send food to friend house? tf? u grab driver meh,[]
mco. but i still see ppl on insta drive here and there to friends house still dare to post ah?,[]
"lol okeh, can",[]
&lt; doggo mike,['m8']
they confirm low ball. sometimes the item i sell $ they ask me can free postage not. like ????!? hello tracked package alr cost $. lol lame just trying luck la they all. peace out m,[]
bodoh. dont buy la. i alr put disclaimer tell them alr i want clear no longer using. u want me bring them to shop and ask them verify ah,[]
"carouhell. set lower price with the intention to clear, then got monkey come ask me why i sell so cheap is it authentic or not. hello sell cheap also kena ask so much. if you doubt so much pls get it elsewhere at the original price dont ask monkey questions. pls.",[]
its so cold i need a heater.,[]
fireworks blocked by other blocks,[]
,[]
