Text,hashtag,Translated Text
"tu je modal yg nk dibangga bangga kan? hidup mmg guna phone utk ig story je ke? bapak sedih hidup. tu belum spesis menggelibas dengan battery health. yg mantop kt iphone ni cuma os je, yg lain takde pembaharuan sgt pun, tp harga?utk si badut beli dgn features beza sikit je.",[],"tu je capital that is proud of proud right? live for the phone for the phone for ig story je? Father is sad to live. TU is not yet specific to the battery health. The one who is great is that the iPhone is just os je, the others will not be renewed, but the price? For the clown buy with features beza a little je."
tah nak haram kan penggunaan plastik tu buat betul la. ni tak masih lg ade dgn bayaran rm. senang betul buat duit.,[],"You know it's haram, the use of plastic is right. This is not still on the fee of RM. really happy for money."
saya rider jgak. tp saya sokong. kita tak perlukan org bodoh mcm ni. menyusahkan org atas kebodohan dia.,[],I'm a rider. But I support it. We don't need stupid people. troublesome for his stupidity.
majikan ni boleh faham tak? kalau calon tu demand gaji contohlah rm.k.bermaksud rm.k tu adalah basic atau gaji pokok. bukannya total selepas tambah elaun itu ini.bende simple pun tak boleh faham.sandol gondol betul.,[],"This employer may you understand? If the candidate is a salary for the example of RM.K.Hending RM.K TU is Basic or Basic Salary. instead of the total after adding this elaun. This is simple, you can't understand."
hidup ni mmg tidak adil.babi,[],life is unfair.
"tak tahu lah, sejak bila lelaki kena tanggung perbelanjaan majlis belah perempuan. dah tu belah lelaki ni, lelaki kena tanggung sendiri. gitu ea? mana dalil pkai?siapa ajar smpai membebankan sebelah pihak ni?",[],"Do not know, since if the man was hit by the responsibility of a female majlis shopping. already split the man, the man got his own responsibility. Is that so ea? Where is the argument of PKAI? Who is teaching until it is charged next to this side?"
"aku boleh jamin, jika mereka menang pru akan datang, belum tentu akta ini akan dilaksanakan pada tarikh yg dijanjikan,sebabnya persatuan majikan akan berbunyi. yela baru laksana kadar gaji minima rm. ni nk tambah lg benda lain. bising la dorng.",[],"I can guarantee, if they win the PRU will come, not necessarily this deed will be carried out on the promised date, because the employer's union will sound. Yela Baru is like a minima salary level RM. This is added another object. noisy la dorng."
ini tandanya apa tuan dan puan taktik kotor dari kerajaan bn/umno agar mereka dipilih lagi pada pru akan datang.,[],This is a sign of what Mr. and Puan tactics dirty from the Kingdom of BN/Umno so that they are chosen again at Pru to come.
"orang penang yg ingin mencuba kerja di singapura, boleh lah hadir ke alamat tertera atau pun hantarkan resuma anda di alamat email yang tertera.","['MajulahSingapura', 'KerjaKosongSingapura', 'PeluangPekerjaan']","Penang people who want to make work in Singapore, may be present to the address listed or even deliver your resuma at the email address listed."
"melainkan sponsor, ye dak. hahaha.",[],"But sponsor, yeah. ha ha ha."
"assalamualaikum, mnta tlg rt ya.",[],"Assalamualaikum, it's true."
"tak yah kibar la, bukan takde semangat nasionalisma.kita je yg semangat sayangkan negara. yg atas termasuk payung kuning ni sembang je sayang negara. hakikatnya tak pun. kalau tak,ade berapa payung kuning kt malaysia ni?dorng berbunyi tak pasal penyamun yg memerintah negara ni?",[],"No, kibar la, not takde nationalism. We are the spirit of the state. The top including the yellow umbrella is a dear country. The essence is not. If not, how much is the yellow umbrella for Malaysia? Dorng sounds no articles of thieves who govern the state?"
terpaling epal.,[],Epal tarp.
badut apple. kah!,[],Apple clown. Kah!
lawak antara benua,[],comedy between continents
itu je modal umgok punya cybertroopers?benak sgt ni,[],that's the capital umgok has a cybertroopers?
"""kau ni memilih sangat kerja, kerja banyak je kau tu yg memilih"".ni kalau aku dh pijak hancur muka kau, kau jangan tanya kenapa tau. aku ade bidang aku, dengan exp aku, aku tau kerja apa sesuai utk aku. takkan mcm ni kau nk suruh aku jadi operator? beragak sikit anak haram.",[],"""You chose to work very much, work a lot of you who chose"". Ni if I have a massage broken your face, you don't ask why you know. I'm my field, with my exp, I know what work is suitable for me. Will you not tell me to be an operator? Receive a little forbidden children."
dh boleh deactivate kot soc med ni. tinggalkan ig je mungkin. haha. twitter ni pun dh jarang jengah.,[],DH may deactivate this Kot Soc Med. Leave ig je maybe. ha ha. Twitter is also rarely embarrassed.
untung lahir terus dapat naik kereta. beso pun terus pakai kereta. mesti spesis jarang sgt naik motor ni. dh kena kecam spin kata maksud kan pasal lain. badut lah kau. mesti kt tmpt kerja kaki spin ni. hbis org lain kena sbb kebenakan diri sendiri,[],"Fortunately born can continue to take the train. Beso continues to use the train. It must be specific to riding a motorcycle. DH was hit by a word spin, the purpose of another article. You are clown. You have to do this spin feet work. Hbis other people hit by yourself"
mcm mana bertambah lemah pulak?mana kajian kau ambil ni?apa salah give and take. dedua tengah struggle nk menghalalkan antara satu sama lain. nak lelaki je keluar duit. perempuan tak yah dengan alasan nk tgok effort lelaki. kelakar la statement kau.,[],"Mcm where is it getting weaker? Where do you take this study? What's wrong give and take. The middle of the middle of the NK struggle justifies each other. Son, a man, you spend money. Women are not with the reason that they are effort of men. You are joke on your statement."
what's happening?,[],What's happening?
amposh gueee... time gini lah boleh tumpah..cobaan.,[],Amposh meeee ... Time like this can spill ... trial.
kebanggaan melayu umngok,[],the pride of Malay umngok
umur dah nak pun bodoh. tak kena pijak dengan aku syukur dah.,[],"age, son, is stupid. I didn't get a massage with me, thank God."
ramai la menggeletis nk cari calon mamat italy ni. persoalannya. mampu ke kau tu nk bmbing dorng ikuy islam yg sebenar benarnya. setakat sbb gentleman je..nampak bebeno benak tak boleh di ajar.,[],"He was busy riding nk looking for a candidate for mamat italy. the problem. able to go to you, nk bmbing dorng ikuy is true. as far as as a gentleman je ... it looks like a bebeno is not to be taught."
"jesnitaanak bezitatak pandai bacaalif,ba,ta,tsa.",[],"Jesnitaanak Bezitatak is good at readingalif, ba, ta, tsa."
kenalah yakin. sbb lelaki ni jarang la rasa diri dia betul. kah!,[],"Kegi Sure. as a man is rare, he thinks he is right. Kah!"
"bg je perempuan menang.sbb dorng mmg selalu nk menang.tu yg kaum dorng ramai kt neraka jahannam.sbb sllu rasa diri tu betul. silp hri bulan smpai dalam kubur,masa kena soal mungkar dan nakir dorng lawan tu yg kena sebat then kena humban dlm neraka. rse diri tu betul manjang. kah!",[],"can women win. Silp Hri, the moon in the grave, the period of being hit by the problem of mungkar and the opponent's child who was hit by then hit by Humban in hell. ket yourself right. Kah!"
lemah betul jadi perempuan.. kena guna marketing murahan baru laris perniagaan agaknya ya? sbb bukan seko je marketing mcm tu. banyak lg. kah! kesimpulannya dedua hilang pedoman.,[],It's really weak to be a woman .. hit by a cheap marketing for a new selling seemingly? as follows not a marketing seko mcm. LG LG. Kah! The conclusion is that the two guidelines are lost.
apa masalah? mana tau dengan review ni lepas tu dengan izin allah terdetik hati nk dalami lagi pasal islam dan membawa dia memeluk agama islam mungkin. mende la kau ni.,[],What is a problem? How do you know about this review with the permission of Allah to be discovered by the Islamic article again and brings him to embrace the religion of Islam as possible. Mende la you.
realiti ya.,[],Reality.
"samakan sistem khalifah? kelakar.raja buat ape sekarang ni dengan krisis yg makin hari makin menekan rakyat? apa dorng buat???. pernah dengar pepatah raja adil disembah, raja zalim disanggah. faham tak faham?",[],"Equate the Caliph System? jokes. What do you make ???. Never heard the proverb of King Adil worshiped, King Zalim was denied. I don't know?"
kelakar. dah la wifi tak laju mana. gahahaha,[],joke. Dah la Wifi doesn't pace. Gahahaha
tapiiiiii? gahaha,[],Butiiiii? Gahaha
kau ni buat lawak ke? cuba nak jadi badut ke badut?,[],You make a joke to? Cuba son become clown to the clown?
sampai hri ni pun ramai pengkhianat bangsa melayu ni. hancurnya negara ni jgak disebabkan melayu. tp yg disalahkan cina lg dari dap.,[],Until Hri Ni was also crowded the traitors of the Malays. The destruction of this country is also caused by Malay. but what is blamed by China again from DAP.
yup. haha. kalau kereta ev murah tp spare parts + electricity mahal pengsan jgak.,[],Yup. ha ha. If the EV train is cheap but spare parts + electricity expensive.
kos nk cas pulak nnt mahal.,[],boarding house nk cas pulak nnt expensive.
lawak badut ni. mahathir dulu umno ngokkk.. dap tu pun musuh dia jgak dulu. bau nk salahkan dap jgak ni. mmg lawak.nah utk kau,[],This clown comedy. Mahathir used to ngokkk umno ... I could even enemies. smell nk blame it can. mmg comedy.nah for you
tak nak keluarkan statement ke? ke nk kata semua salah dap?,[],Don't you issue a statement to? to the word all the wrong words?
ramai penjilat masalahnya minah tu. yg jilat pun sama benak.,[],The problem is the problem is Minah. The licking is the same as mind.
kertas semakan dah buat lap jubo lepas tu buang ke? tak dapat dapat jawapan lagi tu.,[],"The paper is as long as you make the jubo cloth off, throw it away? Can't get a good one anymore."
dari ahli politik kepada pelumba negara.. fuhh.. terbaik yb . tahniah!,[],from political experts to the country's pelumba .. Fuhh .. best yb. Tahniah!
bebudak fb msuk sini tu. tak pun bbnu. tgok jela dorng join twitter tu tahun bila.,[],FB is msuk here. NOT BBNU. Tgok Jela Dornng Join Twitter Tu Year if.
"dr zaman sekolah aku tak nyanyi lagu bangsa johor, solat jumaat waktu doakan sultan aku tak aminkan. semuanya bersebab. si bodoh je bangga dengan keturunan ni. samalah bodoh dengan yg sokong jdt yg agungkan sgt manusia tu.",[],"From school days I did not sing the songs of the nation of Johor, the prayer Friday praying when I prayed for the sultan. Everything is caused. The stupid Je is proud of this descendant. Same is stupid with the supporting who can assume that humans."
"main bola pun tak boleh, gile isim perempuan mcm ni. kau fikir boot tu harga rm, kot.",[],"Playing football is not allowed, Gile isim mcm girl. You think the boot is the price of RM, Kot."
haha.. tu la pasal.,[],haha .. tu la article.
gile punya lurus. ni bukan lurus bendul ni.. ni lurus tidak bertepian.,[],Gile has straight. This is not straight bendul ni .. this is straight not linked.
"takde level ,nampak bebeno cina.",[],"Takde level, it appears Chinese bebeno."
terima kasih penjaga gol kesayangan bangsa j.,['MasVsBahrain'],Thank you for the nation's favorite goal guard j.
aku bukannya sasterawan negaraaku hanya manusia biasamenulis sekadar untuk meluah rasa jiwamaaf jika ku tak sepeka diatak mampu menganyam awan gemawanmenjadikannya selendang untukmu,[],"I am not the literature of my country, only humans are written just to exemption if I am not as desperate as I can weave clouds to make a shawl for you"
sama.,[],same.
membantu.,[],help.
"bukak whatsapp, tutup,bukak whatsapp tutup.taip padam, taip, padam tutup whatsapp.",[],"Bukak WhatsApp, CLOSE, BUKAK WHATSAPP CLOSE. TAIP goes out, Taip, Out of WhatsApp Cover."
bahagia itu akan hadir saat kita berdamai dengan takdir.,[],Happy will be present when we make peace with destiny.
tak sampai sehari. rindu dah.hmm. bertahanlah wahai hati.,[],"Not a day. miss dah.hmm. Hold on, O heart."
hamba battery health.. kesian.,[],servant battery health ..
in hours,[],In Hours
tu pun masih ramai yg sokong atas dasar melayu. hahahaha,[],Tu is still crowded who supports on the basis of Malay. ha ha ha ha
tak memain mat. serius mat.,[],Not playing mat. Seriously Mat.
"aku mat, dah jadi penganggur terhormat dh ni. haha",[],"I'm Mat, already an unemployed honorably DH. ha ha"
bukan takde luck. belum sampai masa lg. teruskan berdoa. same jgak la mcm aku ni hah. bersimpang siur.,[],"Not Takde Luck. Not until LG. Continue praying. Same, I don't know me, huh. Siapang Siur."
mencari mereka yg menyediakan perkhidmatan membuat resume kerja bukan utk fresh grad. klau ade reply dm okay. urgent.,[],looking for those who provide perkhidmatan making work resumes not for fresh grad. if you reply dm okay. urgent.
ios ni rata org guna sbb os dia efficient. dr segi camera pulak sharpness dia the best. tapi pape pun sye tetapkan tak minat iphone.,[],IOS NI RATAN ORG FOR SBB OS DIA Efficient. From the aspect of the Camera Pulak Sharpness Dia The Best. But Pape was also determined not interest in the iPhone.
takleh samakan cikgu zaman bb dgn android. bb mmg terus outdated while android mkin lama system mkin updated. perbandingan bb dgn android ni jauh panggang dari api.,[],Takleh Equal Cikgu Age Bb with Android. BB mmg continues to be outdated while android as long as the long system is updated. The comparison of BB with Android is far from the fire.
aaminn jim.. semoga dipermudahkan,[],aaminn jim .. hopefully it will be easier
till jannah zim. haha,[],Till Jannah Zim. ha ha
good night mak ngahh.. sleep tight and have a sweet dream.,[],good night mak ngahh .. sleep tight and have a sweet dream.
lah.,[],Lah.
"see.. terserlah kebodohan dan kehinaan. sunyi ea bang hidup? kah kah kah. kesian dia takde orang sayang ea? satu lagi bukti kau ni tak berguna sebenarnya. mmg la bukan level kau, dh level kau lg hina dr binatang yg hina mmg bukan lawan aku la.",[],"See ... it is stupid and humiliating. Silent Ea Bang lives? Are you? Is he really a love people, dear ea? One more proof you are not useful. mmg la is not your level, dh your level is despicable from animals that are despicable not opponents me la."
sabar anak muda.,[],Patience young people.
hahahaah.. bodoh. orang pas ni jarang la tak bodoh.,[],hahahaah .. stupid. This person is rarely not stupid.
butoh bapak kau la yg nampak bodoh sekarang ni kau bukan aku. thread kau yg kena kecam.. kah kah kah.. rasanya mcm kau kot yg menyusahkan mak bapak kau sekarang ni.sbb benak kau lain mcm. tak boleh dibendung. pekat sgt bingai kau tu. deaktif jela akaun kau ni. kah kah.,[],"Buthh, you're the one who looks stupid now, you're not me. Thread you are hit by a nomination ... right? Is it like that you are the one who troublesome for your father now. should not be dammed. concentrated all of you. Deactive Jela aka you ni. Kah."
"butoh, dah salah nk tukar topik konon sbb lain. kau dulu sekolah kalau buat karangan mesti lari tajuk ke kan tiap kali peperiksaan. butoh lagi sekali kt muka kau.",[],"Buthh, already wrong, the topic is said to be another. You used to go to school if you have to run a header to every time you examine. Buthoh once again kt your face."
